word,orig,Bolbol,FaBert,Hoosh
تعجب,12.64040552,12.640407928886397,9.368207931518555,8.406904220581055
می‌کرده,3.90742786,3.907439131347202,7.752482891082764,7.061880588531494
درحالیکه,14.6506996,14.650706621045055,14.180355072021484,17.891813278198242
آن,6.807696348,6.807694993333748,6.8979082107543945,19.013320922851562
موقع,6.641130723,6.64113018681952,4.554005146026611,11.214210510253906
همه,6.176212567,6.1762122754391875,5.704370021820068,4.724703311920166
چیز,1.644363257,1.6443625848134744,4.812532424926758,5.746730327606201
کاملا,7.119342822,7.119342634866838,5.207294464111328,5.852497577667236
طبیعی,4.114076339,4.114074292025879,3.864673137664795,11.571383476257324
بنطرش,10.05792821,10.057934399126966,13.303483009338379,11.854052543640137
رسیده,1.903326501,1.9033298789683357,3.5821423530578613,10.255699157714844
بود,0.19059336,0.1906066079680647,0.8123997449874878,0.6091480255126953
اما,9.801781896,9.801778898216682,5.837794303894043,6.328275680541992
زمانی,8.84788029,8.847879051658275,10.191082000732422,10.504963874816895
که,0.322643484,0.3226480003701013,0.8138030171394348,6.657881259918213
خرگوش,15.84264705,15.842647358800214,12.823983192443848,8.14896011352539
ساعتی,17.30997154,17.309974738148586,9.84446907043457,10.207842826843262
از,3.511423091,3.511420884983363,4.861815929412842,9.233844757080078
جیب,9.949916379,9.949920698140449,11.982340812683105,6.530345439910889
جلیقه‌اش,3.70371755,3.7037243952065197,7.216164588928223,5.672758102416992
در,4.604467956,4.604472270937586,1.7965997457504272,10.096424102783203
آورد,0.916719683,0.91672276722964,1.9553062915802002,9.56600284576416
به,4.911143518,4.911144811838305,5.533586502075195,8.794942855834961
آن,7.171264885,7.171265368748496,3.4535787105560303,5.349534034729004
نگاه,2.333795938,2.3337965886942644,3.639467477798462,11.129128456115723
کرد,0.595200278,0.595212229307709,0.6586763262748718,9.205219268798828
و,1.126114928,1.126117556001729,4.096874237060547,6.529921054840088
بعد,5.891481605,5.891483678771907,3.728872060775757,6.824628829956055
با,4.810583206,4.810586524081617,3.9094808101654053,2.9083750247955322
عجله,7.494055098,7.494057883327717,5.834961891174316,11.591931343078613
رفت,7.326567232,7.32656755548899,1.8793456554412842,10.37990665435791
آلیس,19.96184425,19.961846590221015,12.386650085449219,5.173821449279785
از,9.725581037,9.725580183811662,9.360033988952637,4.6090312004089355
جا,13.13568707,13.135685935449722,11.08325481414795,9.461282730102539
پرید,2.630759577,2.6307613082543884,0.2939032018184662,4.002999305725098
